customer_name,customer_gender,loyalty_card_number,latitude,longitude,degree,customer_id
David Frink,1,0,38.73563722644666,-9.149070947095124,0,39634
Evelyn Calico,0,1,38.7174310244228,-9.165104775881414,0,23937
Ora Boggess,0,1,38.78216911920023,-9.150318451442184,0,2431
Lonnie Hopson,1,1,38.77039658442813,-9.177023990494815,0,10090
Maria Hunt,0,1,38.73676584374863,-9.14995515365266,0,24058
Renee Kraft,0,1,38.770465621332,-9.120214149399317,0,26709
Alison Brown,0,0,38.79514258029104,-9.14428827994786,0,47768
Lashonda Proctor,0,1,38.7479991937719,-9.214097944589309,0,29757
Cora Fanning,0,0,38.71903661895103,-9.181560649890171,0,33207
Alma Santiago,0,1,38.78670954723642,-9.124656099715766,0,27655
Elmer Cervantes,1,1,38.72493122089571,-9.128560742566938,0,28439
Joyce Bowman,0,1,38.77213731681731,-9.14640330870182,0,15019
Judith Gazaille,0,0,38.7586036830544,-9.151415365200712,0,42461
Anna Yeary,0,1,38.77782087722945,-9.127435437124012,1,13548
Hector Perez,1,1,38.76608317787968,-9.150219824488373,0,19701
Katrina Hill,0,0,38.74233011282615,-9.185820038259974,0,22276
William Rucker,1,1,38.75186563859536,-9.17790193014177,0,24670
Robert Massey,1,1,38.771725580081984,-9.194595509125252,3,12394
Mabel Head,0,0,38.71547715204685,-9.152226453920807,0,21907
Clyde Lauffer,1,1,38.71591803376175,-9.16859361176442,0,39059
Joe Syrett,1,1,38.73585279077775,-9.150438488052956,1,16880
William Cooley,1,0,38.77690019511135,-9.16154820796642,0,33151
Bernard Babino,1,1,38.71323998207859,-9.135580347048885,0,21623
Margaret Peoples,0,0,38.76305330135946,-9.095476227519498,0,37350
Richard Romanelli,1,1,38.74324925084521,-9.18910878114934,1,2884
Shawn Salisbury,1,0,38.7212010451811,-9.12029497462586,0,39427
John Blackwell,1,1,38.75017078336026,-9.13070351644095,2,9304
Tina Patterson,0,1,38.72418598647763,-9.209621839435812,0,1833
James Coffey,1,0,38.78782817042557,-9.207719709566469,0,33425
Wesley Pace,1,1,38.77852011409098,-9.182795491622617,1,2030
Elizabeth Blankenship,0,1,38.74697208725649,-9.122879083596436,0,18510
Allie Mcquistion,0,0,38.78124483409977,-9.19575802758799,0,30234
Carmela Wool,0,0,38.71201044573278,-9.195774898512113,0,16910
Brian Leonard,1,1,38.728058848512894,-9.134257930897396,0,35254
Hilda Leet,0,0,38.78276911781981,-9.169518999071183,0,35404
Jose Jackson,1,0,38.75218450482852,-9.176707221135246,0,40311
Whitney Adams,0,0,38.71372416879591,-9.181504474118857,0,39469
Patricia Terrell,0,1,38.74684097768585,-9.16155264435965,0,11796
Dennis Gunnoe,1,1,38.76200788636634,-9.056902502059485,0,19908
Erica Hasan,0,0,38.72443166173016,-9.184043637844718,0,49813
Helen Evans,0,1,38.75709632435305,-9.205985320088146,0,29867
Dallas Taylor,1,1,38.74457192345222,-9.117971706870652,0,22350
Gilbert Sweet,1,0,38.76053847320532,-9.192530921884655,0,39087
Carrie Mccarthy,0,1,38.76415460698299,-9.09538125734367,2,9042
Peggy Roper,0,0,38.78545925136579,-9.161012959313425,0,19871
Ruben Bryant,1,0,38.716867924652455,-9.20779720515053,0,49145
Marcus Nelson,1,1,38.77741547936852,-9.180728111170684,0,29418
Bernard Bullock,1,0,38.76364827577565,-9.095207342986557,0,35626
Monty Kelley,1,0,38.72053888338333,-9.14555534756417,0,48729
Nathan Gentry,1,1,38.761613904672735,-9.161913639354555,0,18125
Virginia Waterman,0,1,38.76163819615303,-9.118065523377329,0,26769
Edward Tice,1,0,38.72202532637638,-9.191913447360788,0,49776
Deanna Watkins,0,1,38.76996933691867,-9.177571658492528,0,34352
Keith Hays,1,1,38.767998948167055,-9.20438331787794,0,14841
Carroll Buck,1,0,38.73601841128967,-9.14940293306603,0,46366
Jorge Hernandez,1,0,38.76429293411962,-9.09587367472291,0,35051
Lorene Berti,0,0,38.78991079221672,-9.156979493200351,0,43511
Richard Wells,1,0,38.75207013530117,-9.22555184279403,0,32771
Terry Ensor,1,1,38.7134777778977,-9.137038635964768,0,14762
Iris Tetterton,0,1,38.733168031821904,-9.152695021198245,0,16396
Dennis Reyes,1,1,38.77181168666714,-9.148517562205743,0,24461
Jeffrey Watson,1,0,38.73997499502242,-9.157714677191294,0,41634
Harry Wood,1,0,38.75799068532434,-9.136935859834558,0,39977
Marjorie Nemoede,0,1,38.73983133336734,-9.15494223274941,0,39132
Diane Simmons,0,1,38.73124422923685,-9.15106925975159,0,14871
Ashley Kluesner,0,0,38.74434660761773,-9.15541298498962,0,48615
Lola Roberts,0,1,38.73869900587872,-9.140424539290324,0,15825
Lynne Martin,0,1,38.75290515927711,-9.154262146548378,2,8186
Casey Kelly,1,0,38.75497828854094,-9.191301615483244,0,46314
Mariela Griffiths,0,0,38.71556730163503,-9.201000436373493,0,21570
David Noland,1,1,38.76193667493514,-9.176286159600322,0,4108
Alleen Graven,0,1,38.76349165601712,-9.170976163609854,1,3012
Jo Cornelius,0,0,38.78022234670066,-9.193179402401462,0,48725
Richard Knauer,1,0,38.78463080944498,-9.202895593131446,0,36988
Joseph Wade,1,1,38.7444161574254,-9.14980529543494,3,6054
Irving Balderama,1,0,38.76941436313115,-9.142424884080793,0,30382
Ernest Deardorff,1,1,38.74743571925879,-9.173591768787231,2,16781
Clarence Gambrell,1,1,38.72093090391054,-9.129221190885374,0,15338
Brian Swanson,1,0,38.77436046120987,-9.194412795076095,0,25509
Patricia Kim,0,1,38.73915485910357,-9.13680358147445,0,10857
Kenneth Rust,1,1,38.71662190844516,-9.165873071749884,0,21840
Douglass Murphy,1,0,38.747456040966,-9.173693578944572,0,32685
Doris Burden,0,0,38.73962475714387,-9.147907070679803,0,36010
Karen Wollschlager,0,0,38.76324390781813,-9.164905279176862,0,33428
Randall Prochak,1,1,38.76521896029993,-9.140793407541253,0,20257
Hazel Boe,0,1,38.79943044975543,-9.140209657780956,3,2780
William Macpherson,1,1,38.73751111516624,-9.15367127054314,2,5728
Jackie Montoya,0,1,38.77759636072095,-9.140429724430858,0,11534
Kimberly Carver,0,1,38.748208955538445,-9.172928444939648,0,21694
Donna West,0,0,38.75444332838999,-9.16361145312445,0,41179
Blanca Swarey,0,0,38.7835659207842,-9.148732465689022,0,48271
Jamie Miller,0,1,38.71217606544266,-9.185789433299874,0,21585
Anita Fagan,0,1,38.76405125570341,-9.094476133546156,0,23148
